fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology,start_lon,start_lat,end_lon,end_lat
10,2022-01-01T22:04:00,2022-01-01T22:25:00,150,16.67,0,0,50000,"A tornado touched down near the intersection of Persimmon Tree Road and Siniard Road, where a few trees were snapped or uprooted. It moved to the northeast, snapping and uprooting numerous trees as it crossed Tommy Hill Road and Lester Road. As the tornado crossed Holly Lane, it reached its highest strength with a peak wind speed of 86 mph and downed dozens of trees. It continued its northeastward progression, uprooting trees along Salem Minor Hill Road and Gardner Holly Road before crossing into Giles County Tennessee. This tornado touched down in Limestone County, Alabama near the
intersection of Persimmon Tree Road and Siniard Road, where a few
trees were snapped or uprooted. It moved to the northeast,
snapping and uprooting numerous trees as it crossed Tommy Hill
Road and Lester Road. As the tornado crossed Holly Lane, it
downed dozens of trees. It continued its northeastward
progression, uprooting trees along Salem Minor Hill Road and
Gardner Holly Road. It then continued into Giles County,
Tennessee.

In Tennessee, the tornado continued northeast where NASA 
satellite imagery showed it blew down dozens of trees south of 
Hagan Road. On the eastern end of Hagan Road, two homes received 
minor damage and several outbuildings were destroyed. Another home
had minor damage on Case Road at Bethel Road. The worst damage 
occurred on Alf Harris Road where several homes and outbuildings 
received significant damage. The tornado then turned more eastward
and passed just north of the Prospect community, before more 
homes and outbuildings were damaged on Liberty Road, Kelley Road, 
and Prospect Elkton Road. The tornado lifted just west of Elkton, 
Tennessee. Special thanks to Limestone County EMA and Giles 
County EMA for their help with this storm damage survey.",1,90,NWS Storm Survey,AL,TN,,,"999637, 1004580",Tornado,Supercell,-87.18561513,34.96280376,-86.9144712,35.04591031
11,2022-01-01T23:03:00,2022-01-01T23:06:00,60,2.09,0,0,,"A tornado with a peak wind speed of 65 mph touched down just west of Holli Lane and moved to the east, causing minor shingle damage to several homes in the Double Tree Neighborhood. It crossed Highway 133/Wilson Dam Road and uprooted a few trees. As it crossed Emily Drive, the tornado caused minor shingle damage to a few more homes. The tornado continued to the east-northeast, uprooting a couple more trees before it lifted just east of Grand Haven Drive.",0,65,NWS Storm Survey,AL,,,,999638,Tornado,Supercell,-87.64134793,34.71605159,-87.60628609,34.72464961
12,2022-01-02T00:15:00,2022-01-02T00:27:00,30,9.55,0,1,,"A tornado with a peak wind speed of 85 mph touched down at Nix Road and Charity Lane doing some minor structure damage and knocking down several tree branches. As it crossed U.S. Highway 231 it produced minor structural damages to several businesses. The tornado continued moving northeast eventually crossing Boles Road. Just to the north of Buddy Williamson Road and along Manley Road, the tornado reached its peak intensity where it knocked the roof off a mobile home and snapped several tree branches. The tornado dissipated near J.B. Walker Road west of School House Road.",0,85,NWS Storm Survey,AL,,,,999642,Tornado,Supercell,-86.59828365,34.94679725,-86.43434703,34.97802851
13,2022-01-02T01:24:00,2022-01-02T01:35:00,150,3.68,0,0,1000,"A tornado touched down just west of County Line Road in Limestone County, where a couple of trees were uprooted. The tornado then moved east-northeast into Madison County. A tornado crossing County Line Road from Limestone County moved east-northeast, snapping and uprooting dozens of trees as it crossed Jolley B Road and Landess Circle. The tornado continued to the east-northeast, uprooting more trees along its path and crossing Wall Triana Highway and 6th Street. As the tornado entered the Towne Lake Neighborhood in Triana, dozens of homes had shingles and/or siding removed. It continued to the east, crossing Zeirdt Road where a couple more trees were uprooted before dissipating just east of Record Street.",0,80,NWS Storm Survey,AL,,,,"999643, 999644",Tornado,Supercell,-86.79431468,34.57482402,-86.73251658,34.59008772
14,2022-01-02T19:02:00,2022-01-02T19:03:00,85,0.13,0,0,50000,"A tornado briefly touched down just north of the De Funiak Springs Municipal Airport near the intersection of Dr Roberts Drive and Bellini Road. The tornado uprooted a few trees and caused damage to several outbuildings and two mobile homes. The maximum wind is estimated at 80 mph, making this an EF-0 tornado.",0,80,NWS Storm Survey,FL,,,,1004097,Tornado,QLCS,-86.15981757,30.73877492,-86.1587125,30.74035179
15,2022-01-02T22:27:00,2022-01-02T22:28:00,100,0.52,0,0,,"A very brief tornado touched down along GA Hwy 215 South and Falcon Circle, about 8 miles south of Abbeville during the late afternoon hours of Sunday, January 2nd. The tornado, which showed a very weak debris signature from KJGX snapped and uprooted several large pines on within the Falcon Circle area, particularly near the south entrance/exit off 215. In addition to tree damage, a medium-sized shed was destroyed along with some tin from the roof of one of the homes being pulled off. No other damage was seen beyond Falcon Circle which gets into a very rural area with no road access to the northeast.",0,80,NWS Storm Survey,GA,,,,1006016,Tornado,QLCS,-83.33473327,31.86584064,-83.32818868,31.87092492
16,2022-01-03T00:00:00,2022-01-03T00:01:00,100,0.42,0,0,,"A very brief QLCS tornado hit the south side of Vidalia around 7PM on Sunday, January 2nd. The tornado did the most damage to one of the Vidalia fire station's off of Aimwell Road. The garage doors were blown inward and outward along with a portion of the roof and siding pulled off. Debris was thrown about 200 yards downstream from this point where additional trees were seen snapped or uprooted. Some minor roof damage along with a few more trees down were noted along South Gate Blvd and Katherine Drive. No other damage was seen beyond this point.",0,75,NWS Storm Survey,GA,,,,1006019,Tornado,QLCS,-82.40336067,32.19703452,-82.39677316,32.19954028
17,2022-01-03T12:21:00,2022-01-03T12:22:00,75,0.79,0,0,100000,"An EF-0 tornado briefly touched down two miles southwest of Coats, North Carolina. It was the ground for about two minutes before dissipating. The tornado resulted in roof, window, and siding damage to several homes. In addition, about a dozen trees were either snapped or uprooted, at least two fences were blown over, and at least two outbuildings or sheds were destroyed or rolled over.",0,85,NWS Storm Survey,NC,,,,1004605,Tornado,QLCS,-78.7094249,35.38946429,-78.69768756,35.39569157
18,2022-01-03T12:36:00,2022-01-03T12:37:00,75,0.12,0,0,1500000,An EF-1 tornado briefly touched down around 2 miles south-southwest of Newton Grove. It was the ground for less than one minute before dissipating. The tornado resulted in substantial roof and structural damage to two hog barns.,1,100,NWS Storm Survey,NC,,,,1004222,Tornado,QLCS,-78.36243271,35.21451459,-78.36057662,35.21544811
19,2022-01-08T21:55:00,2022-01-08T21:57:00,30,0.79,0,0,50000,This brief EF0 tornado occurred near IAH. It tracked across JFK Blvd and did some minor damage to a few structures including a hotel and knocked over a few trees. Video showed the tornado crossing San Houston Parkway.,0,65,Public,TX,,,,1004035,Tornado,Supercell,-95.33899024,29.93868845,-95.32815412,29.94530782
20,2022-01-08T22:22:00,2022-01-08T22:22:00,20,0.14,0,0,0,This EF0 tornado was spotted by a broadcast meteorologist just west of Dayton with lofted debris briefly underneath a cone shaped cloud aloft. There was no significant damage.,0,65,Broadcast Media,TX,,,,1004030,Tornado,Supercell,-94.90653939,30.04247388,-94.90499444,30.04395986
21,2022-01-09T03:40:00,2022-01-09T03:44:00,200,0.47,0,0,50000,A brief tornado touched down and damaged buildings that were under construction. Also damage to a restaurant.,0,70,NWS Storm Survey,TX,,,,1004017,Tornado,Supercell,-95.68725222,30.39118186,-95.68738097,30.39795599
22,2022-01-09T05:55:00,2022-01-09T05:58:00,40,1.1,0,0,70000,This tornado caused mostly intermittent EF0 damage along a one mile path. There was a small area of EF1 rated damage at the start of the path with a brick facade on a multi-story office building failing and nearby tree trunks snapped.,1,90,NWS Storm Survey,TX,,,,1004018,Tornado,Supercell,-95.5288,29.7911,-95.52617591,29.8130049
23,2022-01-09T07:17:00,2022-01-09T07:22:00,40,2.18,0,0,300000,"This EF1 tornado tracked from a wooded area, through North Hollow Estates then across the City of Humble with damage to trees and a couple of structures. Vans were flipped in a church parking lot. One retail building was destroyed with the loss of its roof and three walls. The post office also sustained minor damage.",1,90,NWS Storm Survey,TX,,,,1001212,Tornado,Supercell,-95.27293384,29.97157774,-95.25319278,29.99923314
24,2022-01-09T07:25:00,2022-01-09T07:29:00,75,2.24,0,0,200000,This EF1 tornado snapped the trunks or uprooted several large trees with a few of them on structures. The most significant damage was along Palmetto Lane and Hamblen Road near its intersection with Red Bud Lane.,1,90,NWS Storm Survey,TX,,,,1001224,Tornado,Supercell,-95.23592995,30.02488798,-95.22314117,30.05483156
25,2022-01-09T10:42:00,2022-01-09T10:43:00,100,0.24,0,0,11000,"An EF-1 tornado with estimated maximum winds near 105 mph briefly touched down near Shorty Poston Road off of LA 392 just west of Hornbeck in extreme Southern Sabine Parish. The tornado mostly snapped hardwood and softwood trees as it crossed the road and then passed over a single family home. The home sustained shingle damage and a few of its brick pillars along its porch were damaged. The tornado also damaged a portion of the roof of a small metal outbuilding before continuing on to snap several more trees. The tornado then lifted in a forested area behind the single family home. Approximately 50 trees were snapped and twisted, with a few trees uprooted as well. This same storm that produced this tornado went on to produce an EF-2 tornado about 10 minutes later in the Peason community in Southeast Sabine Parish.",1,105,NWS Storm Survey,LA,,,,993915,Tornado,Supercell,-93.4225744,31.3285713,-93.41949522,31.3308899
26,2022-01-09T10:53:00,2022-01-09T11:01:00,900,3.56,0,6,1500000,"A strong and wide EF-2 tornado with estimated maximum winds near 125 mph touched down near Peason Road in the Peason community and tracked northeast before lifting shortly after passing Bridges Road. Radar data suggests that the starting point could have been slightly farther southwest than what is indicated in the survey and the ending point could have been slightly farther northeast than what was indicated. However, limited public road access prevented a more accurate starting and ending point.
The maximum width of this tornado was approximately a half a mile, which allowed many residences and structures to be affected. Approximately 30 homes were damaged, with 10-15 homes either heavily damaged, destroyed, or rendered unlivable. The survey suggested that the tornado was most intense in a narrower corridor from Highway 118 where it crossed McInnis Road, where damage indicators of several structures suggested EF-2 winds. The peak wind speed of 125 mph was associated with a completely destroyed mobile home which had its remnants blown approximately 60 feet and piled up against a tree line. A family of 5 inside the mobile home were all injured, with a couple receiving critical injuries. Another injury occurred farther downstream from this area but this injury was not critical. In addition to damage to residences, there were scores of farms and outbuildings which were generally destroyed, with casualties of at least two horses.
This tornado was quite anomalous for its above average width in relation to its relatively short path length. There were a few EF-2 damage points associated with extreme swaths of tree damage, although little tree debarking was seen. It is estimated that at least 1000 trees were either snapped or uprooted from this tornado.",2,125,NWS Storm Survey,LA,,,,993932,Tornado,Supercell,-93.32382442,31.41321309,-93.28623058,31.45349223
27,2022-01-09T22:37:00,2022-01-09T22:39:00,100,0.36,0,0,,"National Weather Service meteorologists surveyed damage in northwest Pike County and determined that it was consistent with an EF0 tornado, with maximum winds near 85 mph.
The tornado touched down in a wooded area to the west of County Road 1123. It then traveled northeast into an open field where it crossed County Road 1123, snapped a few branches, and uprooted one hardwood tree. There was significant roof damage to a metal barn. A large feed bin, which was being housed in the barn, was lofted roughly 150 feet into a nearby field. A gooseneck trailer was also overturned. The tornado continued northeast into another pasture where it narrowly missed a family residence. However, minor shingle and porch damage was noted, and sheet metal was peeled back on a nearby barn. Shortly before lifting, the tornado snapped additional tree limbs along a tree line on the opposite side of the field.",0,85,NWS Storm Survey,AL,,,,1000855,Tornado,Supercell,-86.0845721,31.89419119,-86.07985141,31.89648665
28,2022-01-09T22:47:00,2022-01-09T22:53:00,25,2.3,0,0,,"The tornado first touched down on the west side of I-65 at the Owassa Exit and crossed the interstate. The only damage noted in the area was to some fencing on the west side of I-65, however, surveillance video from a nearby gas station showed a very narrow funnel in contact with the ground that moved across the interstate before briefly lifting. The tornado touched down again on Wilcox Rd, producing minor tree damage and damaging a tin roof on a nearby structure. It is possible the tornado produced sporadic minor damage between the interstate and this final point.",0,75,NWS Storm Survey,AL,,,,1001338,Tornado,Supercell,-86.9244077,31.50634025,-86.88605211,31.50846604
29,2022-01-09T23:20:00,2022-01-09T23:23:00,25,1,0,0,,"The tornado touched down at Hayes Road and Armstrong Road (County Road 36), producing sporadic tree damage. A shed at a residence was destroyed. The tornado continued on its intermittent track, producing additional damage on Garden Road (County Road 35). Damage was confined to some tree damage with a downed power line. A mobile home suffered very minor damage. The tornado appears to have lifted just east of Garden Road, but areas to the east were not accessible.",0,75,NWS Storm Survey,AL,,,,1001339,Tornado,Supercell,-86.70625274,31.53122538,-86.68970888,31.53416516
30,2022-01-16T05:22:00,2022-01-16T05:26:00,50,2.65,0,0,75000,"A tornado moved across portions of Dog Island early Sunday morning with damage to one residence reported. The roof was partially torn off with significant damage to the porch. This damage was consistent with an EF1 tornado with winds estimated around 95 mph. In addition, damage to trees and power lines occurred with Duke Energy reporting 97 customers without power on the island. A tornadic debris signature (TDS) was evident on TLH radar.",1,95,Emergency Manager,FL,,,,1004118,Tornado,Supercell,-84.60272361,29.79858632,-84.57448531,29.82815128
31,2022-01-16T11:36:00,2022-01-16T11:42:00,50,0.97,0,0,500000,Placida/Gasparilla tornado. A waterspout moved across Gasparilla Sound near Boca Grande Causeway before moving ashore near Placida as a short-lived EF-1 tornado with peak winds estimated around 110 mph. The tornado flipped a boat at a marina storage facility and damaged several others before moving into a manufactured home community where it damaged at least 35 homes. No injuries or deaths were reported. Damage estimates totaled around $500 thousand USD.,1,110,NWS Storm Survey,FL,,,,"996437, 995998",Tornado,Supercell,-82.26754432,26.82506541,-82.25424056,26.84114908
32,2022-01-16T12:15:00,2022-01-16T12:16:00,50,0.54,0,0,150000,"Port Charlotte tornado. Tornado briefly touched down in the Village of Holiday Lake near Port Charlotte with peak winds estimated around 100 mph. This tornado was produced by the parent thunderstorm that earlier produced the Placida/Gasparilla tornado. Four homes were deemed unsafe/destroyed; two with major damage, and two with minor damage. Roof and carports had major damage or were destroyed. No injuries or deaths reported. Damage estimates totaled around $150 thousand USD.",1,100,Public,FL,,,,995979,Tornado,Supercell,-82.22059248,26.91850938,-82.21872566,26.92616223
33,2022-01-16T12:31:00,2022-01-16T12:48:00,125,7.01,0,3,10000000,"Iona/Fort Myers tornado. A waterspout first identified just northwest of Fort Myers Beach moved ashore as a tornado and pushed through the Iona area near Fort Myers producing EF-2 damage with peak winds estimated around 118 mph before dissipating near the Cape Coral bridge. Over 200 residences suffered damage across three separate mobile home communities (Point Breeze, Tropicana, and Century 21), with 45 destroyed, 90 sustaining major damage and another 92 with minor damage. 3 people suffered minor injuries. Damage estimates totaled around $10 million USD.",2,120,NWS Storm Survey,FL,,,,"996435, 995997",Tornado,Supercell,-81.99498364,26.4714031,-81.9158844,26.56164861
34,2022-01-16T14:00:00,2022-01-16T14:34:00,75,15,0,1,20000,"Video from the public at Isle of Capri shared via social media captured the tornado as a waterspout before it came ashore. Surveyed tornado damage was found in the Victoria Falls neighborhood west of Collier Blvd and south of Tamiami Trail. A total of 20 homes sustained at least minor damage. Several uprooted trees, broken large branches, and at least two homes with tarps on roofs indicative of roof damage were observed in this neighborhood.
Tornado damage was also observed north of Tamiami Trail in Lely Resort. Here, the surveyed damage was mainly in the form of a few uprooted small trees, one uprooted palm tree, and broken large tree branches. The tops of a few palm trees were partially sheared off at the crown with only a few fronds remaining as well. A street sign was knocked over on Palmer Ct in Lely Resort.
As the cell moved to the northeast, the tornado eventually crossed Interstate 75 near mile marker 96 where it blew over a semi-tractor trailer, injuring the driver, according to the Florida Highway Patrol. Estimated peak wind of 85 mph - high-end EF-0.",0,85,NWS Storm Survey,FL,,,,"995678, 995676",Tornado,Supercell,-81.8059,25.9936,-81.59353325,26.16102635
35,2022-01-16T14:04:00,2022-01-16T14:05:00,50,0.46,0,0,0,Cape Coral tornado. Brief tornado near Cape Coral was captured on a home doorbell camera. No significant damage was reported and the tornado was rated as an EF-0 with peak winds estimated around 65 mph. No injuries or deaths reported.,0,65,Public,FL,,,,996001,Tornado,QLCS,-82,26.62,-81.995,26.625
36,2022-01-16T15:53:00,2022-01-16T16:01:00,75,5.5,0,0,0,Members of the public shared video of the tornadoes it passed near Everglades City after coming ashore. The survey observed a leaning power pole along Tamiami Trail just east of the intersection with State Road 29. The damage was tornadic in nature and matches with radar velocity/reflectivity at the time as a strong circulation passed over. Estimated peak wind of 85 mph.,0,85,NWS Storm Survey,FL,,,,995677,Tornado,QLCS,-81.4127823,25.85496199,-81.33862459,25.90762732
37,2022-02-03T18:52:00,2022-02-03T19:15:00,900,15.47,0,0,,"National Weather Service meteorologists surveyed damage in southwest Sumter County and determined that it was consistent with an EF2 tornado, with maximum winds near 120 mph. The tornado began on Jarman Road where some trees were snapped. It continued northeast and quickly reached its maximum intensity near Jemison Street and Campbell Street. At this location, numerous trees were uprooted and a home was shifted off its foundation with collapse of some of its walls. The tornado weakened by the time it crossed County Road 10, but continued to cause timber damage on Johnson Street and Siloam Road. Trees continued to be snapped and uprooted near the intersection of Highway 80 and Highway 17, with a 300 yard wide swath of downed trees reported by a landowner on Rumley Tower Road. The tornado dissipated after crossing County Road 13.",2,120,NWS Storm Survey,AL,,,,1007143,Tornado,Supercell,-88.38568738,32.35651034,-88.18313278,32.50085251
